Year,SolarOutput,Continent
2000,0.0184,Africa
2000,0.428429426,Asia
2000,0.13447325,Europe
2000,0.002171014,South America
2000,0.541933707,North America
2000,0.04675,Australia
2001,0.0247,Africa
2001,0.608465426,Asia
2001,0.1701665,Europe
2001,0.00381175,South America
2001,0.601930003,North America
2001,0.05415,Australia
2002,0.03080101,Africa
2002,0.829254425,Asia
2002,0.276783006,Europe
2002,0.00619825,South America
2002,0.63233444,North America
2002,0.0583,Australia
2003,0.03390101,Africa
2003,1.116542608,Asia
2003,0.468725744,Europe
2003,0.00857,South America
2003,0.641443792,North America
2003,0.0632,Australia
2004,0.03910101,Africa
2004,1.464055013,Asia
2004,0.751125873,Europe
2004,0.011121726,South America
2004,0.721395596,North America
2004,0.07295,Australia
2005,0.04420101,Africa
2005,1.852813527,Asia
2005,1.486411246,Europe
2005,0.017905556,South America
2005,0.776374318,North America
2005,0.08405,Australia
2006,0.05190101,Africa
2006,2.29127578,Asia
2006,2.524115814,Europe
2006,0.008210922,South America
2006,0.85711634,North America
2006,0.0975,Australia
2007,0.063625293,Africa
2007,2.748580976,Asia
2007,3.815732819,Europe
2007,0.010515951,South America
2007,1.133357867,North America
2007,0.11375,Australia
2008,0.084917202,Africa
2008,3.330602555,Asia
2008,7.501099132,Europe
2008,0.014537054,South America
2008,1.687483616,North America
2008,0.1392,Australia
2009,0.107869927,Africa
2009,4.383497988,Asia
2009,14.19282706,Europe
2009,0.02376073,South America
2009,2.212260394,North America
2009,0.29024203,Australia
2010,0.22386475,Africa
2010,6.738748497,Asia
2010,23.26339202,Europe
2010,0.060736946,South America
2010,3.298236421,North America
2010,0.97764828,Australia
2011,0.460530301,Africa
2011,12.15439924,Asia
2011,46.71348231,Europe
2011,0.126640437,South America
2011,5.351504128,North America
2011,2.04454657,Australia
2012,0.553427126,Africa
2012,17.5830281,Asia
2012,71.86961416,Europe
2012,0.335077368,South America
2012,9.987013756,North America
2012,2.412,Australia
2013,0.824283141,Africa
2013,32.33890709,Asia
2013,86.9350868,Europe
2013,0.530739657,South America
2013,17.64449548,North America
2013,3.8474,Australia
2014,1.826255884,Africa
2014,62.87474908,Asia
2014,98.83250601,Europe
2014,1.143456384,South America
2014,31.55696162,North America
2014,4.952,Australia
2015,3.568277276,Africa
2015,99.19372578,Asia
2015,109.8801756,Europe
2015,2.730733143,South America
2015,42.56726263,North America
2015,5.958,Australia
2016,4.911321327,Africa
2016,141.7552294,Asia
2016,113.9504791,Europe
2016,4.965804041,South America
2016,58.70379227,North America
2016,7.474595,Australia
2017,6.610571458,Africa
2017,227.1966379,Asia
2017,124.5423787,Europe
2017,7.455610131,South America
2017,82.53527076,North America
2017,8.95511,Australia
2018,9.029088999,Africa
2018,314.2085529,Asia
2018,139.0520627,Europe
2018,12.43152681,South America
2018,102.9072327,North America
2018,12.081099,Australia
