Technology,Year,Investment,Patents 
Marine Energy,2004,0,2.710963119
Marine Energy,2005,8,2.742725131
Marine Energy,2006,8.903089987,2.824776462
Marine Energy,2007,8.903089987,2.965671971
Marine Energy,2008,8.301029996,3.026941628
Marine Energy,2009,8.477121255,3.171726454
Marine Energy,2010,8.301029996,3.185542155
Marine Energy,2011,8.301029996,3.138618434
Marine Energy,2012,8.477121255,3.146748014
Marine Energy,2013,8.301029996,3.133538908
Marine Energy,2014,8.477121255,3.116607744
Marine Energy,2015,8.301029996,2.914343157
Marine Energy,2016,8.301029996,2.431363764
Geothermal Energy,2004,9.079181246,2.404833717
Geothermal Energy,2005,9.079181246,2.403120521
Geothermal Energy,2006,9.146128036,2.546542663
Geothermal Energy,2007,9.230448921,2.701567985
Geothermal Energy,2008,9.230448921,2.761927838
Geothermal Energy,2009,9.447158031,2.952792443
Geothermal Energy,2010,9.462397998,2.860936621
Geothermal Energy,2011,9.591064607,2.919078092
Geothermal Energy,2012,9.204119983,2.920123326
Geothermal Energy,2013,9.462397998,2.874481818
Geothermal Energy,2014,9.462397998,2.820201459
Geothermal Energy,2015,9.361727836,2.56937391
Geothermal Energy,2016,9.431363764,2.217483944
Hydropower,2004,9.431363764,3.09131516
Hydropower,2005,9.86923172,3.097604329
Hydropower,2006,9.875061263,3.202488317
Hydropower,2007,9.806179974,3.309417226
Hydropower,2008,9.880813592,3.410439786
Hydropower,2009,9.792391689,3.511749711
Hydropower,2010,9.908485019,3.530967682
Hydropower,2011,9.875061263,3.585235063
Hydropower,2012,9.806179974,3.585799009
Hydropower,2013,9.748188027,3.512550993
Hydropower,2014,9.806179974,3.504062883
Hydropower,2015,9.544068044,3.366236124
Hydropower,2016,9.544068044,2.862727528
Wind Energy,2004,10.29225607,3.511616021
Wind Energy,2005,10.45484486,3.566437492
Wind Energy,2006,10.59879051,3.628797486
Wind Energy,2007,10.78604121,3.791830948
Wind Energy,2008,10.8739016,3.924847633
Wind Energy,2009,10.90145832,4.048441804
Wind Energy,2010,11.00689371,4.105203516
Wind Energy,2011,10.92531209,4.131907243
Wind Energy,2012,10.92634245,4.105442055
Wind Energy,2013,10.94939001,3.992111488
Wind Energy,2014,11.03542974,3.945074488
Wind Energy,2015,11.0941216,3.771440487
Wind Energy,2016,11.05115252,3.258158193
Solar Energy ,2004,10.04921802,3.834547858
Solar Energy ,2005,10.20139712,3.890812099
Solar Energy ,2006,10.34044411,4.009110806
Solar Energy ,2007,10.5899496,4.137354111
Solar Energy ,2008,10.78746047,4.292809665
Solar Energy ,2009,10.80617997,4.442197464
Solar Energy ,2010,11.01535976,4.533467005
Solar Energy ,2011,11.19005142,4.562768543
Solar Energy ,2012,11.14798532,4.557928059
Solar Energy ,2013,11.07591176,4.475656663
Solar Energy ,2014,11.15806079,4.352259719
Solar Energy ,2015,11.2347703,4.191031609
Solar Energy ,2016,11.05576046,3.691611874
